revenue_usd_millions,pitchbook_valuation_usd_millions,pitchbook_primary_industry_group,pitchbook_primary_industry_sector,pitchbook_verticals,pitchbook_hq_location,pitchbook_hq_country,pitchbook_last_financing_date,pitchbook_last_financing_size_usd_millions,pitchbook_last_financing_deal_type,employee_count_pitchbook,employee_count_linkedin_scraped,employee_count_crunchbase_range,company_size_category,crunchbase_revenue_range,crunchbase_industry_tags,crunchbase_industry_category,total_funding_usd,num_funding_rounds,avg_round_size_usd,total_investors,latest_funding_type,latest_funding_date,months_since_last_funding,funding_stage_encoded,country,state_region,city,founded_year,company_age_years,is_public,ipo_date,ipo_exchange,ipo_ticker,revenue_tier,is_pe_backed,num_pe_investors,ml_predicted_revenue,ml_prediction_confidence
47.8,,Commercial Services,Business Products and Services (B2B),,"Charlotte, NC",United States,2024-07-29,2.66,Debt Refinancing,399.0,10.0,c_00101_00250,Small,r_00010000,,"Sales and Marketing, Data and Analytics, Agriculture and Farming, Agriculture, Analytics, Marketing",0,1,0,1,private_equity,2006-01-01,238.0,6.0,United States,North Carolina,Charlotte,,,False,,,,Growth Stage,True,1,41156077.0,0.6
569.84,1900.0,Commercial Services,Business Products and Services (B2B),TMT,"New York, NY",United States,2025-09-24,1900.0,Buyout/LBO,902.0,1104.0,c_00501_01000,Medium,r_00500000,,"Sales and Marketing, Media and Entertainment, Data and Analytics, Advertising, Analytics, Big Data, Digital Media",300750070,9,37593758,11,post_ipo_debt,2025-06-18,5.0,7.0,United States,New York,New York,,,True,,nasdaq,,Scale-up,True,2,218171460.0,0.95
400.0,1100.0,Software,Information Technology,"SaaS, Cybersecurity","Austin, TX",United States,2025-04-01,125.0,Debt - General,1800.0,1609.0,c_01001_05000,Large,r_00100000,,"Privacy and Security, Information Technology, Cyber Security, SaaS, Security, Software",18000000,1,18000000,4,post_ipo_equity,2006-09-25,230.0,7.0,United States,Texas,Austin,,,True,,nasdaq,,Scale-up,True,2,346114974.0,0.95
75.3,1500.0,Commercial Services,Business Products and Services (B2B),,"Chicago, IL",United States,2021-07-06,1500.0,Buyout/LBO,5400.0,5800.0,c_05001_10000,Enterprise,r_00100000,,"Sales and Marketing, Design, Data and Analytics, Analytics, Brand Marketing, Market Research",21400000,3,7133333,10,series_b,2014-06-19,137.0,3.0,United States,Illinois,Chicago,,,False,,,,Scale-up,True,2,643053328.0,0.85
64.6,1200.0,Software,Information Technology,SaaS,"Boston, MA",United States,2024-12-01,17.55,Debt - General,600.0,552.0,c_00501_01000,Medium,r_00100000,,"Software, Internet Services, Hardware, Cloud Data Services, Data Storage, Enterprise Software, File Sharing, Information Technology",247000000,13,19000000,12,series_unknown,2022-03-24,44.0,1.0,United States,Massachusetts,Boston,,,False,,,,Scale-up,True,2,37901456.0,0.8
100.0,1000.0,Software,Information Technology,"SaaS, Supply Chain Tech","Ottawa, Canada",Canada,,400.0,Buyout/LBO,986.0,10.0,c_00501_01000,Medium,r_00050000,,"Transportation, Software, Professional Services, Other, Customer Service, Information Technology, SaaS, Supply Chain Management",533629305,6,106725861,10,secondary_market,2025-03-01,8.0,6.0,Canada,Ontario,Ottawa,,,False,,,,Growth Stage,True,2,41156077.0,0.9
14.48,,Commercial Services,Business Products and Services (B2B),,"Singapore, Singapore",Singapore,2024-02-07,,Buyout/LBO,1500.0,1000.0,,,,,"Professional Services, Financial Services, Accounting",0,0,0,0,,,,,Singapore,Kuala Lumpur,Singapore,,,False,,,,,True,2,59925489.0,0.6
79.6,1000.0,IT Services,Information Technology,,"Bridgeville, PA",United States,,,Merger/Acquisition,5500.0,2368.0,c_05001_10000,Enterprise,r_00010000,,"Internet Services, Data and Analytics, Big Data, Business Intelligence, Cloud Computing, Mobile, Software",93000000,3,93000000,3,secondary_market,2022-09-27,38.0,6.0,United States,PA,Pittsburgh,,,False,,,,Growth Stage,True,1,444732108.0,0.9
195.84,,Commercial Services,Business Products and Services (B2B),,"Longmont, CO",United States,2025-06-30,,Debt - General,1650.0,386.0,c_00501_01000,Medium,r_00100000,,"Sales and Marketing, Media and Entertainment, Design, Content and Publishing, Advertising, Graphic Design, Photography, Printing",0,3,0,3,private_equity,2019-10-02,73.0,6.0,United States,CO,Longmont,,,False,,,,Scale-up,True,1,68200469.0,0.6
650.0,4.75,Software,Information Technology,SaaS,"River Heights, UT",United States,2025-10-23,,Secondary Transaction - Private,3387.0,1741.0,c_01001_05000,Large,r_00100000,"Web Development, Web Design, Video, Venture Capital, Social Media, SEO, Public Relations, Marketing, E-Commerce, Advertising, Commerce and Shopping, Design, Financial Services, Internet Services, Lending and Investments, Media and Entertainment, Sales and Marketing, Software","Transportation, Software, Financial Services, Billing, Payments, Procurement",0,2,0,2,private_equity,2020-03-16,68.0,6.0,United States,UT,Logan,,,False,,,,Scale-up,True,2,312035498.0,0.6
4.6,,IT Services,Information Technology,"Real Estate Technology, SaaS, FinTech","Greenwood Village, CO",United States,2024-12-31,15.64,Debt - General,400.0,372.0,c_00251_00500,Medium,r_00010000,,"Real Estate, Professional Services, Consulting, Property Management, SaaS, Software",0,1,0,1,private_equity,2022-01-12,46.0,6.0,United States,Colorado,Denver,,,False,,,,Growth Stage,True,1,68060171.0,0.6
167.66,140.0,Software,Information Technology,"Marketing Tech, SaaS","Lake Oswego, OR",United States,2025-06-23,675.0,Debt Refinancing,1300.0,1013.0,c_01001_05000,Large,r_00100000,,"Sales and Marketing, Commerce and Shopping, Digital Marketing, E-Commerce, SaaS, Software",0,0,0,0,,,,,United States,OR,Portland,,,False,,,,Scale-up,True,1,60272595.0,0.6
156.44,,Insurance,Financial Services,,"Frankfurt, Germany",Germany,2025-05-15,724.25,Debt Refinancing,1700.0,311.0,c_01001_05000,Large,r_00100000,"Insurance, Financial Services","Financial Services, Insurance",0,1,0,1,private_equity,2023-03-27,32.0,6.0,Germany,Hessen,Frankfurt,,,False,,,,Scale-up,True,1,60091211.0,0.6
13.3,,IT Services,Information Technology,,"Edison, NJ",United States,2025-03-13,,Buyout/LBO,1839.0,1854.0,c_01001_05000,Large,r_00010000,,"Science and Engineering, Internet Services, Hardware, Design, Data and Analytics, Analytics, Cloud Computing, Cloud Infrastructure, Data Visualization, Information Technology, IT Infrastructure, IT Management, Software, Software Engineering",0,1,0,1,private_equity,2025-03-17,8.0,6.0,United States,NJ,Edison,,,False,,,,Growth Stage,True,1,305532679.0,0.6
150.0,145.0,Software,Information Technology,SaaS,"Fulton, MD",United States,2024-01-01,,PE Growth/Expansion,578.0,526.0,c_00501_01000,Medium,r_00100000,"Software, Open Source, Enterprise Software, Developer Tools, Cyber Security, Information Technology, Privacy and Security","Privacy and Security, Information Technology, Cyber Security, Developer Tools, Enterprise Software, Open Source, Software",154707328,6,25784554,8,private_equity,2018-09-07,86.0,6.0,United States,Maryland,Fulton,,,False,,,,Scale-up,True,4,90239966.0,0.9
157.0,2300.0,Software,Information Technology,"Marketing Tech, SaaS","Atlanta, GA",United States,2025-08-07,,Merger/Acquisition,1198.0,1183.0,c_00501_01000,Medium,r_00100000,,Technology & Software,245718000,8,30714750,15,series_e,2021-01-06,58.0,5.0,United States,Georgia,Atlanta,,,False,,,,Scale-up,True,2,185495150.0,0.9
600.0,5398.6,Software,Information Technology,"FinTech, TMT, InsurTech, SaaS","Denver, CO",United States,2020-09-03,5398.6,Merger/Acquisition,2500.0,,c_01001_05000,Large,r_00100000,,Transportation & Automotive,0,1,0,1,private_equity,1999-12-01,311.0,6.0,United States,Colorado,Denver,,,False,,,,Scale-up,True,5,48418915.0,0.25
549.5,700.0,Software,Information Technology,"SaaS, FinTech","Wilmington, MA",United States,2025-07-24,,Debt Refinancing,2600.0,1682.0,c_01001_05000,Large,r_00500000,,"Enterprise Resource Planning (ERP), Enterprise Software, Financial Services, Software",118796997,7,16970999,2,private_equity,2024-03-22,20.0,6.0,United States,Massachusetts,Wilmington,,,False,,,,Scale-up,True,2,303809740.0,0.9
136.0,1880.0,Commercial Services,Business Products and Services (B2B),"Marketing Tech, TMT, AdTech","New York, NY",United States,2024-09-30,0.66,Debt - General,470.0,,c_00251_00500,Medium,r_00100000,,"Sales and Marketing, Internet Services, Advertising, Advertising Platforms, Internet, Native Advertising, Software",16625000,5,4156250,16,private_equity,2021-03-29,56.0,6.0,United States,New York,New York,,,False,,,,Scale-up,True,1,48418915.0,0.55
215.0,1000.0,Software,Information Technology,"SaaS, TMT","Boston, MA",United States,2025-03-24,411.74,Debt - General,841.0,840.0,c_00501_01000,Medium,r_00100000,,"Mobile, Internet Services, Data and Analytics, Apps, Business Process Automation (BPA), Data Integration, Enterprise Software, Information Technology, Internet, IT Management, Mobile Apps, Software, Task Management",90000000,2,90000000,2,series_unknown,2019-12-17,71.0,1.0,United States,Massachusetts,Boston,,,False,,,,Scale-up,True,2,63632252.0,0.8
391.87,900.0,Software,Information Technology,"SaaS, EdTech","Westlake, TX",United States,2024-08-12,900.0,Buyout/LBO,2171.0,1889.0,c_01001_05000,Large,r_00100000,,Technology & Software,194450000,4,48612500,6,grant,2025-07-22,4.0,0.0,United States,Utah,Draper,,,True,,nasdaq,,Scale-up,True,3,362647018.0,0.95
130.4,650.0,Commercial Services,Business Products and Services (B2B),"Mobile, TMT","Vienna, VA",United States,2011-11-08,650.0,Merger/Acquisition,335.0,13.0,c_00101_00250,Small,,,"Sales and Marketing, Professional Services, Advertising, Consulting, Risk Management, SaaS, Software",60000000,1,60000000,1,private_equity,2005-09-28,242.0,6.0,United States,VA,Vienna,,,False,,,,,True,1,43622257.0,0.9
4.35,155.0,Consumer Non-Durables,Consumer Products and Services (B2C),"LOHAS & Wellness, Manufacturing","Bridgewater, NJ",United States,2023-12-31,7.98,Debt - General,42.0,42.0,c_00001_00010,Startup,r_00010000,,Health Care,0,0,0,0,,,,,United States,NJ,Cedar Knolls,,,False,,,,Growth Stage,True,1,15519760.0,0.6
33.68,10.28,Apparel and Accessories,Consumer Products and Services (B2C),Manufacturing,"London, United Kingdom",United Kingdom,2023-03-28,10.28,Merger/Acquisition,900.0,209.0,c_00501_01000,Medium,r_00100000,,"Design, Community and Lifestyle, Commerce and Shopping, Clothing and Apparel, Fashion, Lifestyle, Retail",0,0,0,0,,,,,United Kingdom,United Kingdom,London,,,False,,,,Scale-up,True,2,18773215.0,0.6
84.11,211.28,Consumer Non-Durables,Consumer Products and Services (B2C),Manufacturing,"Vaughan, Canada",Canada,2023-12-08,121.7,Buyout/LBO,102.0,101.0,c_00051_00100,Small,r_00050000,,"Consumer Goods, Beauty, Cosmetics",170474297,1,170474297,1,private_equity,2016-11-18,108.0,6.0,Canada,ON,Toronto,,,True,,tsx,MAV,Growth Stage,True,1,62353183.0,0.95
36.27,325.0,Consumer Non-Durables,Consumer Products and Services (B2C),LOHAS & Wellness,"Mumbai, India",India,,,Merger/Acquisition,400.0,718.0,c_00501_01000,Medium,r_00100000,,"Health Care, Manufacturing",35000000,3,35000000,3,series_unknown,2022-03-01,44.0,1.0,India,New Jersey,Mumbai,,,False,,,,Scale-up,True,1,47939985.0,0.8
15.0,,Consumer Durables,Consumer Products and Services (B2C),Manufacturing,"Bedford, MA",United States,2022-01-01,,Secondary Transaction - Private,105.0,,c_00051_00100,Small,r_00000000,,"Other, Consumer",0,0,0,0,,,,,United States,MA,Bedford,,,False,,,,Pre-Revenue,True,1,17089028.0,0.25
139.45,760.0,Other Financial Services,Financial Services,"FinTech, TMT","Naperville, IL",United States,2019-03-01,,PE Growth/Expansion,201.0,91.0,c_00501_01000,Medium,r_01000000,,"Mobile, Lending and Investments, Internet Services, Commerce and Shopping, Credit Cards, Financial Services, FinTech, Hardware, Internet, Mobile Payments, Payments, Retail Technology, Software",0,1,0,1,private_equity,2013-09-11,146.0,6.0,United States,IL,Naperville,,,False,,,,Unicorn,True,2,45050175.0,0.6
721.8,,Software,Information Technology,FinTech,"Omaha, NE",United States,2025-10-09,115.0,Debt Refinancing,1912.0,1807.0,c_01001_05000,Large,r_01000000,,"Media and Entertainment, Advice, Asset Management, Financial Services",0,0,0,0,,,,,United States,NE,Omaha,,,False,,,,Unicorn,True,1,109752377.0,0.6
1269.07,10394.1,Software,Information Technology,"FinTech, SaaS, TMT","Loughborough, United Kingdom",United Kingdom,2024-12-16,1139.9,Debt - Acquisition,8000.0,6486.0,c_00051_00100,Small,r_00001000,"Information Technology, Information Services, Cloud Computing, Internet Services, Software","Software, Internet Services, Cloud Computing, Information Services, Information Technology",0,0,0,0,,,,,United Kingdom,United Kingdom,Colchester,,,False,,,,Early Stage,True,1,377532115.0,0.6
412.4,603.33,Media,Consumer Products and Services (B2C),,"Pittsburgh, PA",United States,2025-10-17,700.0,PE Growth/Expansion,4500.0,,,,,,"Audio/Visual Equipment, Broadcasting, Events, Media and Entertainment, TV Production",0,0,0,0,,,,,United States,,,1984.0,41.0,False,,,,,True,2,,
66.22,670.81,Software,Information Technology,"SaaS, Mobile, TMT","Los Angeles, CA",United States,2006-02-15,670.81,Merger/Acquisition,206.0,,,,,,"Digital Entertainment, Mobile",0,0,0,0,,,,,United States,,,2000.0,25.0,True,,nasdaq,,,True,1,,
34.94,86.34,Software,Information Technology,"Marketing Tech, TMT","Munich, Germany",Germany,2012-05-31,,Merger/Acquisition,350.0,10.0,c_00251_00500,Medium,,,"Sales and Marketing, Advertising, Email Marketing, Marketing, SaaS, Software",87164960,2,87164960,4,private_equity,2010-01-11,190.0,6.0,Germany,Bayern,Munich,1999.0,26.0,False,,,,,True,1,500000.0,0.3
52.0,,Other Business Products and Services,Business Products and Services (B2B),"TMT, Mobile, SaaS","Northfield, NJ",United States,2024-02-26,,Buyout/LBO,200.0,198.0,c_00101_00250,Small,r_00001000,,"Internet Services, Information Technology, Hardware, Government and Military, Consumer Electronics, Cloud Computing, Computer, GovTech, Software",27500000,3,27500000,2,private_equity,2024-04-30,19.0,6.0,United States,NJ,Northfield,,,False,,,,Early Stage,True,2,53057226.0,0.9
800.0,1200.0,Software,Information Technology,Cybersecurity,"Eden Prairie, MN",United States,2023-12-11,6.98,Debt - General,1645.0,1662.0,c_01001_05000,Large,r_00500000,,"Professional Services, Privacy and Security, Information Technology, Education, Consulting, Cyber Security, Training",0,1,0,3,private_equity,2021-05-06,54.0,6.0,United States,MN,Eden Prairie,,,False,,,,Scale-up,True,1,303774323.0,0.6
10.89,1313.77,Commercial Services,Business Products and Services (B2B),"Big Data, SaaS","Ljusdal, Sweden",Sweden,2024-05-06,10.51,Secondary Transaction - Private,2500.0,2500.0,c_00001_00010,Startup,r_00000000,,"Software, Hardware, Commerce and Shopping, Enterprise Resource Planning (ERP), Enterprise Software, Point of Sale, Retail Technology, SaaS",150000,2,150000,2,seed,2024-09-01,14.0,1.0,Sweden,Dubai,Ljusdal,,,False,,,,Pre-Revenue,True,1,191935664.0,0.8
3.98,,Commercial Services,Business Products and Services (B2B),,"New York, NY",United States,2024-08-30,,Buyout/LBO,106.0,,,,,,Facilities Support Services,0,0,0,0,,,,,United States,,,,,False,,,,,True,1,,
390.6,825.0,Software,Information Technology,,"Woburn, MA",United States,2024-12-31,1.49,Debt - General,1000.0,1560.0,c_01001_05000,Large,r_00100000,,"Sales and Marketing, Professional Services, Media and Entertainment, Design, Content and Publishing, Advertising, Brand Marketing, Consulting, Content Marketing, Information Technology, Marketing, Mobile Advertising, Printing, Product Design, Social Media Marketing, Software",1450000000,1,1450000000,3,debt_financing,2024-03-07,20.0,1.0,United States,MA,Woburn,,,True,,nasdaq,TYPE,Scale-up,True,1,337704631.0,0.95
500.0,1830.0,Software,Information Technology,"TMT, SaaS","Austin, TX",United States,,,PE Growth/Expansion,1684.0,1500.0,c_01001_05000,Large,r_00100000,,Communication & Collaboration,113345803,3,113345803,4,private_equity,2022-07-09,40.0,6.0,United States,Texas,Austin,,,False,,,,Scale-up,True,5,282131433.0,0.9
9.3,2000.0,Software,Information Technology,"FinTech, TMT, SaaS","Montreal, Canada",Canada,2025-03-11,,Debt Refinancing,829.0,822.0,c_00501_01000,Medium,r_00100000,,"Travel and Tourism, Transportation, Software, Community and Lifestyle, Air Transportation, Leisure, SaaS, Travel",155831220,5,77915610,5,private_equity,2024-03-01,20.0,6.0,Canada,Quebec,Montreal,,,False,,,,Scale-up,True,3,153852189.0,0.9
2.79,250.0,Software,Information Technology,,"Jacksonville, FL",United States,2024-04-01,20.56,Debt - General,364.0,367.0,c_00501_01000,Medium,r_00050000,,"Information Technology, Hardware, Data and Analytics, Consumer Electronics, Computer, Data Integration, Database, Software",0,1,0,1,private_equity,2021-11-17,48.0,6.0,United States,FL,Jacksonville,,,False,,,,Growth Stage,True,1,68060171.0,0.6
4.25,55.0,Software,Information Technology,FinTech,"Minneapolis, MN",United States,2025-08-01,,PE Growth/Expansion,600.0,740.0,c_00501_01000,Medium,r_00010000,,"Information Technology, Software",0,1,0,1,undisclosed,2025-06-01,5.0,1.0,United States,MN & Milton Keynes,Minneapolis,,,False,,,,Growth Stage,True,2,49156728.0,0.6
809.62,3612.0,Software,Information Technology,Cybersecurity,"Abingdon, United Kingdom",United Kingdom,2025-02-11,14.58,Debt - Acquisition,5078.0,5214.0,c_01001_05000,Large,r_00500000,"Software, Network Security, Cyber Security, Cloud Security, Information Technology, Privacy and Security","Privacy and Security, Information Technology, Cloud Security, Cyber Security, Network Security, Software",125010656,2,62505328,1,post_ipo_equity,2021-08-24,51.0,7.0,United Kingdom,United Kingdom,Abingdon,,,True,,lse,,Scale-up,True,4,1055090726.0,0.95
422.7,,IT Services,Information Technology,"TMT, SaaS","Saint Louis, MO",United States,2025-10-22,240.0,Debt - General,914.0,,c_00501_01000,Medium,,,"Software, Internet Services, Hardware, Cloud Computing, Data Center, Information Services, Information Technology, IT Infrastructure",2372000000,9,338857142,11,debt_financing,2025-10-23,1.0,1.0,United States,MO,St. Louis,,,False,,,,,True,1,19937200.0,0.45
87.73,,Apparel and Accessories,Consumer Products and Services (B2C),Manufacturing,"Ganghester, Sweden",Sweden,2025-06-27,,Buyout/LBO,259.0,,,,r_00010000,,"Fashion, Lifestyle",0,0,0,0,,,,,Sweden,,,1928.0,97.0,False,,,,,True,1,,
707.06,564.64,IT Services,Information Technology,"CleanTech, Internet of Things, TMT","Pune, India",India,2018-01-29,146.81,Secondary Transaction - Open Market,9149.0,,,,r_00500000,,"Artificial Intelligence (AI), Automotive, Product Design, Software, Software Engineering",0,0,0,0,,,,,India,,,1990.0,35.0,True,,nse,,,True,2,,
675.03,6156.9,Healthcare Devices and Supplies,Healthcare,Manufacturing,"Marlborough, MA",United States,2007-10-22,6156.9,Merger/Acquisition,1500.0,,,,r_00500000,,"Biotechnology, Health Care, Manufacturing, Women's",0,0,0,0,,,,,United States,,,1987.0,38.0,False,,,,,True,1,,
56.58,1160.0,Software,Information Technology,,"New York, NY",United States,2025-02-01,,PE Growth/Expansion,1552.0,1503.0,c_01001_05000,Large,r_00100000,,Technology & Software,1351200000,10,168900000,42,debt_financing,2024-12-05,11.0,1.0,United States,New York,New York,,,False,,,,Scale-up,True,2,116171766.0,0.8
3.01,214.56,Pharmaceuticals and Biotechnology,Healthcare,"Artificial Intelligence & Machine Learning, TMT, Life Sciences","Cambridge, MA",United States,2025-09-10,100.0,PIPE,55.0,13.0,c_00011_00050,Startup,r_00001000,"Sales, Retail, Outdoors, Commerce and Shopping, Sales and Marketing, Sports","Sports, Sales and Marketing, Commerce and Shopping, Outdoors, Retail, Sales",0,0,0,0,,,,,United States,NA - South Africa,Cape Town,,,False,,,CAMP,Early Stage,True,1,15396091.0,0.6
75.0,1000.0,Software,Information Technology,"CloudTech & DevOps, SaaS","Redwood City, CA",United States,2024-03-25,,Buyout/LBO,540.0,306.0,c_00501_01000,Medium,r_00100000,"Virtualization, Software, SaaS, Database, Data Management, Computer, Application Performance Management, Analytics, Consumer Electronics, Data and Analytics, Hardware, Information Technology","Information Technology, Hardware, Data and Analytics, Consumer Electronics, Analytics, Application Performance Management, Computer, Data Management, Database, SaaS, Software, Virtualization",119500000,7,29875000,12,series_d,2021-10-11,49.0,5.0,United States,California,Redwood City,,,False,,,,Scale-up,True,5,53021657.0,0.9
3.86,615.01,Pharmaceuticals and Biotechnology,Healthcare,Life Sciences,"Richmond, CA",United States,2024-09-26,198.0,IPO,89.0,95.0,c_00051_00100,Small,,"Therapeutics, Life Science, Biotechnology, Biopharma, Health Care, Science and Engineering","Science and Engineering, Health Care, Biopharma, Biotechnology, Life Science, Therapeutics",293900000,4,73475000,22,series_d,2024-02-13,21.0,5.0,United States,California,Richmond,,,True,,nasdaq,BIOA,,True,2,62353183.0,0.95
832.81,4949.26,IT Services,Information Technology,,"New York, NY",United States,2025-08-11,625.0,Debt - General,1210.0,2260.0,c_01001_05000,Large,r_00500000,"Web Hosting, Virtualization, SaaS, DevOps, Cloud Computing, Hardware, Information Technology, Internet Services, Software","Software, Internet Services, Information Technology, Hardware, Cloud Computing, DevOps, SaaS, Virtualization, Web Hosting",1916275418,20,159689618,35,post_ipo_debt,2025-08-12,3.0,7.0,United States,New York,New York,,,True,,nyse,DOCN,Scale-up,True,1,501625454.0,0.95
6.0,43.8,Software,Information Technology,"TMT, FinTech, SaaS","Los Angeles, CA",United States,2018-02-02,43.8,Merger/Acquisition,50.0,,,,,,"Information Technology, SaaS, Software",0,0,0,0,,,,,United States,,,2000.0,25.0,False,,,,,True,1,,
710.0,12.0,Retail,Consumer Products and Services (B2C),,"Ridgewood, NJ",United States,2024-07-08,12.0,Buyout/LBO,2000.0,,,,r_00010000,,"Customer Service, Fashion",0,0,0,0,,,,,United States,,,1999.0,26.0,False,,,,,True,2,,
1.0,1000.0,Software,Information Technology,"Big Data, SaaS","San Jose, CA",United States,2024-06-04,1000.0,Merger/Acquisition,39.0,20.0,c_00011_00050,Startup,r_00001000,,"Internet Services, Data and Analytics, Analytics, Cloud Computing, Software",37000000,2,18500000,4,series_b,2023-09-19,26.0,3.0,United States,California,San Jose,,,False,,,,Early Stage,True,1,28716316.0,0.85
7.6,5300.0,Healthcare Technology Systems,Healthcare,"Digital Health, LOHAS & Wellness, HealthTech, Artificial Intelligence & Machine Learning, Mobile","Philadelphia, PA",United States,2025-06-24,315.93,Later Stage VC,431.0,453.0,c_00251_00500,Medium,r_00100000,"Medical, Machine Learning, Intelligent Systems, Health Care, Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Software, Science and Engineering, Data and Analytics, Artificial Intelligence (AI), Health Care, Intelligent Systems, Machine Learning, Medical",757500000,9,108214285,33,series_e,2025-06-24,5.0,5.0,United States,Pennsylvania,Pittsburgh,,,False,,,,Scale-up,True,4,70054104.0,0.9
14.0,14.2,Commercial Services,Business Products and Services (B2B),SaaS,"San Francisco, CA",United States,2021-02-01,14.2,Merger/Acquisition,71.0,39.0,c_00101_00250,Small,r_00100000,"SaaS, Human Resources, Administrative Services, Software","Software, Administrative Services, Human Resources, SaaS",101600000,4,25400000,7,series_c,2018-02-15,93.0,4.0,United States,California,San Francisco,,,False,,,,Scale-up,True,3,33599140.0,0.9
